School,Popular Census (Balloting 2B),GEP/SAP,Affiliation + Balloting 2C,
Admiralty Primary School,1,,,
Ai Tong School,1,SAP,,`
Anglo-Chinese School (Junior),1,,1,
Anglo-Chinese School (Primary),1,GEP,1,
Catholic High School (Primary),1,"GEP, SAP",1,
CHIJ Our Lady of the Nativity,,,1,
CHIJ Primary (Toa Payoh),1,,1,
CHIJ St. Nicholas Girls' School (Primary),1,SAP,1,
Chongfu School,1,,,
Fairfield Methodist School (Primary),1,,1,
Frontier Primary School,1,,,
Henry Park Primary School,,GEP,,
Holy Innocents' Primary School,1,SAP,1,
Hong Wen School,,SAP,,
Kong Hwa School,1,SAP,,
Kuo Chuan Presbyterian Primary School,1,,1,
Maha Bodhi School,1,SAP,1,
Maris Stella High School (Primary),1,SAP,1,
Mee Toh School,,,1,
Methodist Girls' School (Primary),1,,1,
Nan Chiau Primary School,1,,,
Nan Hua Primary School,1,"GEP, SAP",,
Nanyang Primary School,1,"GEP, SAP",1,
Ngee Ann Primary School,,,1,
Northland Primary School,1,,,
Paya Lebar Methodist Girls' School (Primary),1,,1,
Pei Chun Public School,1,SAP,,
Pei Hwa Presbyterian Primary School,1,SAP,,
Poi Ching School,,SAP,,
Princess Elizabeth Primary School,1,,,
Raffles Girls' Primary School,,GEP,,
Red Swastika School,1,SAP,,
Rosyth School,1,GEP,,
Rulang Primary School,1,,,
Singapore Chinese Girls' Primary School,1,,1,
South View Primary School,1,,,
St. Andrew's Junior School,,,1,
St. Anthony's Primary School,,,1,
St. Hilda's Primary School,1,GEP,1,
St. Joseph's Institution Junior,1,,1,
St. Margaret's Primary School,,,1,
Tao Nan School,1,"GEP, SAP",,
Wellington Primary School,1,,,