school_name,join_key,overall_subscription_rates,applicants_total,vacancies_total,rank,is_good_school,school_tier
Princess Elizabeth Primary School,PRINCESSELIZABETHPRIMARYSCHOOL,3.584070796460177,405,113,1,True,Good
South View Primary School,SOUTHVIEWPRIMARYSCHOOL,2.9291338582677167,372,127,2,True,Good
Gongshang Primary School,GONGSHANGPRIMARYSCHOOL,2.572519083969466,337,131,3,True,Good
Nan Hua Primary School,NANHUAPRIMARYSCHOOL,2.5040650406504064,308,123,4,True,Good
Pei Hwa Presbyterian Primary School,PEIHWAPRESBYTERIANPRIMARYSCHOOL,2.236842105263158,255,114,5,True,Good
Temasek Primary School,TEMASEKPRIMARYSCHOOL,2.06140350877193,235,114,6,True,Good
Yangzheng Primary School,YANGZHENGPRIMARYSCHOOL,1.9805825242718447,204,103,7,True,Good
Rosyth School,ROSYTHSCHOOL,1.9782608695652173,273,138,8,True,Good
Northland Primary School,NORTHLANDPRIMARYSCHOOL,1.8854961832061068,247,131,9,True,Good
Chongfu School,CHONGFUSCHOOL,1.879746835443038,297,158,10,True,Good
Angsana Primary School,ANGSANAPRIMARYSCHOOL,1.8662420382165605,293,157,11,True,Good
Shuqun Primary School,SHUQUNPRIMARYSCHOOL,1.7796610169491525,210,118,12,True,Good
Nan Chiau Primary School,NANCHIAUPRIMARYSCHOOL,1.7629310344827587,409,232,13,True,Good
Rulang Primary School,RULANGPRIMARYSCHOOL,1.7557251908396947,230,131,14,True,Good
St. Hilda's Primary School,STHILDASPRIMARYSCHOOL,1.6623376623376624,256,154,15,True,Good
Ai Tong School,AITONGSCHOOL,1.6104651162790697,277,172,16,True,Good
Catholic High School (Primary),CATHOLICHIGHSCHOOL,1.6103896103896105,248,154,17,True,Good
CHIJ St. Nicholas Girls' School (Primary),CHIJSTNICHOLASGIRLSSCHOOL,1.6054421768707483,236,147,18,True,Good
Tao Nan School,TAONANSCHOOL,1.6042780748663101,300,187,19,True,Good
Red Swastika School,REDSWASTIKASCHOOL,1.5705128205128205,245,156,20,True,Good
Wellington Primary School,WELLINGTONPRIMARYSCHOOL,1.5474452554744527,212,137,21,True,Good
Waterway Primary School,WATERWAYPRIMARYSCHOOL,1.4915254237288136,176,118,22,True,Good
Tanjong Katong Primary School,TANJONGKATONGPRIMARYSCHOOL,1.4848484848484849,196,132,23,True,Good
Kong Hwa School,KONGHWASCHOOL,1.4764705882352942,251,170,24,True,Good
Holy Innocents' Primary School,HOLYINNOCENTSPRIMARYSCHOOL,1.471264367816092,256,174,25,True,Good
Maha Bodhi School,MAHABODHISCHOOL,1.438423645320197,292,203,26,True,Good
Nanyang Primary School,NANYANGPRIMARYSCHOOL,1.4223300970873787,293,206,27,True,Good
Hong Wen School,HONGWENSCHOOL,1.4078947368421053,214,152,28,True,Good
Punggol Green Primary School,PUNGGOLGREENPRIMARYSCHOOL,1.3971631205673758,197,141,29,True,Good
Pei Chun Public School,PEICHUNPUBLICSCHOOL,1.384180790960452,245,177,30,True,Good
Methodist Girls' School (Primary),METHODISTGIRLSSCHOOL,1.3580246913580247,220,162,31,True,Good
Singapore Chinese Girls' Primary School,SINGAPORECHINESEGIRLSPRIMARYSCHOOL,1.3529411764705883,184,136,32,True,Good
Sengkang Green Primary School,SENGKANGGREENPRIMARYSCHOOL,1.3374233128834356,218,163,33,True,Good
Frontier Primary School,FRONTIERPRIMARYSCHOOL,1.3253968253968254,167,126,34,True,Good
Yu Neng Primary School,YUNENGPRIMARYSCHOOL,1.3203883495145632,136,103,35,True,Good
Radin Mas Primary School,RADINMASPRIMARYSCHOOL,1.2932330827067668,172,133,36,True,Good
Fairfield Methodist School (Primary),FAIRFIELDMETHODISTSCHOOL,1.2767295597484276,203,159,37,True,Good
CHIJ Primary (Toa Payoh),CHIJPRIMARYTOAPAYOH,1.2710843373493976,211,166,38,True,Good
Riverside Primary School,RIVERSIDEPRIMARYSCHOOL,1.2419354838709677,154,124,39,True,Good
Maris Stella High School (Primary),MARISSTELLAHIGHSCHOOL,1.231111111111111,277,225,40,True,Good
North View Primary School,NORTHVIEWPRIMARYSCHOOL,1.218543046357616,184,151,41,True,Good
Pasir Ris Primary School,PASIRRISPRIMARYSCHOOL,1.2135922330097086,125,103,42,True,Good
Elias Park Primary School,ELIASPARKPRIMARYSCHOOL,1.182608695652174,136,115,43,True,Good
Huamin Primary School,HUAMINPRIMARYSCHOOL,1.1793103448275861,171,145,44,True,Good
Kuo Chuan Presbyterian Primary School,KUOCHUANPRESBYTERIANPRIMARYSCHOOL,1.1676646706586826,195,167,45,True,Good
Chua Chu Kang Primary School,CHUACHUKANGPRIMARYSCHOOL,1.162162162162162,215,185,46,True,Good
Westwood Primary School,WESTWOODPRIMARYSCHOOL,1.162162162162162,172,148,47,True,Good
Anglo-Chinese School (Junior),ANGLOCHINESESCHOOLJUNIOR,1.1555555555555554,260,225,48,True,Good
Horizon Primary School,HORIZONPRIMARYSCHOOL,1.1346153846153846,177,156,49,True,Good
Xinmin Primary School,XINMINPRIMARYSCHOOL,1.1313868613138687,155,137,50,True,Good
Admiralty Primary School,ADMIRALTYPRIMARYSCHOOL,1.1304347826086956,156,138,51,True,Good
Valour Primary School,VALOURPRIMARYSCHOOL,1.1171875,143,128,52,True,Good
Poi Ching School,POICHINGSCHOOL,1.1115537848605577,279,251,53,True,Good
Anglo-Chinese School (Primary),ANGLOCHINESESCHOOL,1.08675799086758,238,219,54,True,Good
St. Joseph's Institution Junior,STJOSEPHSINSTITUTIONJUNIOR,1.0811965811965811,253,234,55,True,Good
Jurong West Primary School,JURONGWESTPRIMARYSCHOOL,1.078740157480315,137,127,56,True,Good
Punggol Primary School,PUNGGOLPRIMARYSCHOOL,1.0,139,139,57,True,Good
Henry Park Primary School,HENRYPARKPRIMARYSCHOOL,0.9911111111111112,223,225,58,True,Good
Keming Primary School,KEMINGPRIMARYSCHOOL,0.9902912621359223,204,206,59,True,Good
